connection_type,functions,matrix,model,screen
" HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," *VA, відгук 5мс, 100Гц","Монітор LG 34WN650 34 """, 3440x1440 (21:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 271B8QJKEB 27 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 1мс, 75Гц","Монітор Acer Nitro RG240Ybmiix 24 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort"," VGA, HDMI, DisplayPort"," IPS, відгук 4мс, 60Гц","Монітор Viewsonic VX3276-mhd 32 """, 1920x1080 (16:9)
" HDMI, DisplayPort, mini DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 346B1C 34 """, 3840x2160 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор BenQ Zowie XL2731 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор Gigabyte Aorus CV27Q 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," TN+film, відгук 1мс, 144Гц","Монітор Asus VG248QZ 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор HP Z43 43 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," TN+film, відгук 1мс, 240Гц","Монітор Acer XF250QCbmiiprx 25 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 75Гц","Монітор Philips 242V8LA 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync, HDR, Flicker-Free"," IPS, відгук 4мс, 144Гц","Монітор Acer Predator XB273K 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, PBP, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Dell U2719DC 27 """, 3840x1080 (32:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор HP X24c 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," VGA, HDMI, DisplayPort"," *VA, відгук 5мс, 60Гц","Монітор AOC 22E1Q 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, Flicker-Free"," QLED, відгук 1мс, 144Гц","Монітор Samsung C32HG70 32 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," *VA, відгук 4мс, 75Гц","Монітор Asus ROG Strix XG49VQ 49 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор HP V24i 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 60Гц","Монітор Asus VP228DE 22 """, 3840x2160 (16:9)
" VGA, DVI-D"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 240Гц","Монітор AOC C27G2ZE 27 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 6мс, 60Гц","Монітор Iiyama ProLite X2283HS-B5 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор BenQ SW270C 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор HP V28 4K 28 """, 2560x1440 (16:9)
" VGA, HDMI", Flicker-Free," AH-IPS, відгук 5мс, 75Гц","Монітор LG 22MP58D 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Dell P2418HT 24 """, 3440x1440 (21:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Iiyama ProLite XU2292HS-B1 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," VGA, HDMI"," *VA, відгук 12мс, 60Гц","Монітор Lenovo T24h-20 24 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор HP 22f 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," VGA, DVI, HDMI"," *VA, відгук 4мс, 60Гц","Монітор Acer Nitro XZ342CKPbmiiphx 34 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync, HDR, Flicker-Free"," IPS, відгук 1мс, 175Гц","Монітор Acer Predator X38 38 """, 3840x1600 (21:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Dell SE2216H 22 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Asus VP249HR 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор EvroMedia M32 32 """, 3840x2160 (16:9)
" HDMI, DisplayPort, інтерфейс Thunderbolt"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор BenQ PD2720U 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort, інтерфейс Thunderbolt"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор Lenovo S24q-10 24 """, 2560x1440 (16:9)
" VGA, HDMI"," AMD FreeSync Premium, HDR, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Asus TUF Gaming VG32VQ 32 """, 2560x1440 (16:9)
" DVI-D, HDMI, DisplayPort", VGA," TN+film, відгук 5мс, 60Гц","Монітор BenQ EW3280U 32 """, 1600x900 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Lenovo P27u-10 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort", Flicker-Free," TN+film, відгук 5мс, 60Гц","Монітор Asus ROG Strix XG27WQ 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, інтерфейс Thunderbolt, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell SE2219H 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, PBP, Flicker-Free"," *VA, відгук 4мс, 100Гц","Монітор Dell E2016HV 20 """, 3440x1440 (21:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," TN+film, відгук 1мс, 60Гц","Монітор BenQ EL2870U 28 """, 3840x2160 (16:9)
" VGA, HDMI"," HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор MSI PRO MP221 22 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Asus ProArt PA27AC 27 """, 2560x1440 (16:9)
" DVI-D, HDMI, DisplayPort, USB C"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Philips 346P1CRH 34 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 5мс, 165Гц","Монітор Acer ED320QRPbiipx 32 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Asus ProArt PA32UCX 32 """, 2560x1440 (16:9)
 HDMI, Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell P2418D 24 """, 2560x1440 (16:9)
" HDMI, DisplayPort, mini DisplayPort, USB C"," NVIDIA G-Sync, Flicker-Free"," TN+film, відгук 1мс, 165Гц","Монітор Acer ED323QURabidpx 32 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор LG 24EA430V 24 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Lenovo P24q-20 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор BenQ EW2480 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, PBP, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Acer Nitro EI491CRP 49 """, 3840x1080 (32:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор AOC 24P2Q 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор LG 24GL650 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Philips 243B9 24 """, 1920x1080 (16:9)
